MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,10.95119172,1.56E+01,22.55826647,0.97930248,1388.562251,8.74,104.8302352,-7.070991328,170.0112878,3.758885722,0.432825694,0.76984411,3.828923163,12.67417911,0.032779187,-0.877714001,28.71374743,10.99669406,-2.764751961,-0.453097847,-1.644693372,-1.674492413,-1.594614795
1,4.353808312,8.50E+00,11.4520952,0.691579821,575.5225449,8,14.10195446,-6013.754192,146.8057738,2.908234552,0.239018496,0.677530159,3.315876427,11.26620537,0.016288755,-0.975035301,3.651033044,6.688351423,-3.412888172,-1.513249978,-3.176961523,-2.912166182,-2.984260519
2,2.492871717,5.081362742,5.77535185,0.399147395,235.6370803,7.84,1.434521901,-10164.64748,109.6325802,1.903755216,0.145554854,0.469181946,2.508589471,8.512944958,0.009710774,-1.006783182,1.094906973,5.209528558,-3.613058628,-2.030190216,-4.571027701,-4.813898757,-4.013828038
3,0.960837866,3.204842529,2.575981204,0.227323497,127.3636524,7.16,0.253693746,-11372.04114,76.66919894,1.115249246,0.076858957,0.341610621,1.783685303,7.224157672,0.007302567,-1.017419211,0.722163519,4.178324601,-3.664452016,-2.192635683,-5.848576833,-6.021580187,-5.439964714
4,0.432234134,1.531854856,1.167106563,0.146308567,70.86097254,6.3,0.095479744,-12012.07655,48.8384825,0.609165058,0.029218828,0.228919751,1.087816645,5.832668662,0.005410124,-1.021181241,0.655101735,3.91812321,-3.688183446,-2.324320084,-6.828002598,-6.861736652,-6.618334384
5,0.150850783,0.806614764,0.449255597,0.082139049,45.12071862,4.92,0.043797519,-12301.85882,29.64229277,0.317899881,0.010352412,0.152971483,0.537885328,4.393259789,0.004484578,-1.024424609,0.630008171,3.720370694,-3.706454567,-2.413733936,-7.605827336,-7.447487919,-7.530682001
6,0.081377565,0.521503193,0.18924977,0.052004841,33.23889028,3.78,0.031962932,-12321.39731,19.08344902,0.154408631,0.004512046,0.090632272,0.325052103,3.886398737,0.003987856,-1.025513978,0.615666191,3.68108621,-3.73657103,-2.468217543,-8.267179732,-7.818509708,-8.053881398
7,0.033377631,0.283878551,0.067720906,0.027168637,26.59204381,3.14,0.02500365,-12534.01468,13.69545307,0.084727961,0.00220081,0.061114757,0.23433764,3.325306821,0.003784738,-1.026502251,0.611494938,3.470514166,-3.739939968,-2.512541703,-8.546802811,-8.048351486,-8.740001017
8,0.012149534,0.122840363,0.02376664,0.016790591,22.51125567,2.68,0.020556303,-12543.8461,7.395711062,0.034648042,0.001278188,0.039070964,0.173741197,2.907716313,0.002937952,-1.027165552,0.601929556,3.330270058,-3.761128991,-2.540545583,-8.803602868,-8.397260793,-8.991479246
9,0.005806493,0.061998434,0.006805258,0.00992367,20.83499906,2.44,0.017068055,-12549.34343,5.624642321,0.021106471,0.000735348,0.034689513,0.139781549,2.603516118,0.002610506,-1.027570443,0.594499225,3.238396648,-3.763886171,-2.578245574,-9.017358466,-8.752783454,-9.481059755
10,0.00180667,0.028370879,0.002499874,0.00628185,18.88404436,1.82,0.01471631,-12557.20027,3.86215456,0.009225888,0.000224524,0.029408797,0.111622661,2.324205375,0.002497202,-1.028579764,0.588515879,3.185830644,-3.76662638,-2.59520689,-9.14311442,-8.869312773,-9.745699192
11,0.001449822,0.016189999,0.000325094,0.004577497,16.50325774,1.32,0.011663586,-12558.50808,2.775419505,0.005087499,4.17E-05,0.027101694,0.091056349,2.138735268,0.002389269,-1.029624741,0.582751996,3.158583986,-3.769710158,-2.613469038,-9.235296924,-9.053242185,-9.828730732
12,0.000633581,0.007624078,0.000124956,0.003139982,13.00935256,1.12,0.010727069,-12559.86978,2.050859333,0.003022142,8.11E-06,0.025071843,0.075051759,1.48774583,0.002268512,-1.029886483,0.578821497,3.146471402,-3.772762478,-2.637534795,-9.470675991,-9.110850824,-9.903833621
13,0.000446865,0.004225961,3.73E-05,0.002448362,11.42328387,0.82,0.010631,-12565.77648,1.833040552,0.002054496,5.67E-06,0.021894988,0.066113657,1.244091841,0.002162749,-1.029967943,0.575582937,3.140313743,-3.783918153,-2.655118038,-9.61648573,-9.423246442,-10.16408287
14,5.81E-05,0.002413973,1.76E-05,0.001235384,9.33261307,0.64,0.009157237,-12566.47176,0.959429099,0.000972635,2.48E-06,0.013357725,0.060261114,1.126149452,0.0020096,-1.030079036,0.573294387,3.125381821,-3.792665349,-2.671435959,-9.664565434,-9.879971973,-10.19494106
15,3.74E-05,0.001533324,1.60E-06,0.000629342,8.34160435,0.62,0.008711769,-12566.76446,0.881733768,0.000481548,2.14E-07,0.009633228,0.054684221,1.086288113,0.001826174,-1.030108348,0.572708258,3.117437387,-3.794169111,-2.681349247,-9.762170992,-9.929717408,-10.21706879
16,3.38E-06,0.001101912,4.77E-07,0.000486705,7.341603918,0.62,0.007697942,-12567.18583,0.729538851,0.000213259,4.56E-08,0.005461258,0.053677439,0.99908031,0.001625325,-1.03022526,0.569846163,3.113485783,-3.79466033,-2.688235849,-9.770389964,-10.04751392,-10.27047941
